100 111973844 1997961 6534964 342 1328 2922 6058720 14082300 33478104 
224 84389832 1743129 5395918 340 1458 3264 5661888 11925541 27546672 
244 150398488 2725837 8579935 330 1358 3238.6 8332368 18596280 44092465 
152 71294702 1653575 5057125 332 1322 3081.4 5373621 11553929 25444630 
62 126130840 1947395 5758355 332 1615.1 3874 6559670 13077048 28710027 
138 146866288 2376870 7619006 338 1592 3584 7499363 16636276 38631752 
62 122585156 2103209 6720710 318 1512 3498 6655756 14627685 34389419 
140 149234092 2309372 7453520 320 1538 3456 7284697 16158202 37743063 
66 208242776 2309112 7541431 332 1434.7 3380 7005594 15943270 38548888 
86 109654726 2075928 6864301 332 1574 3572 6092356 14380681 35495659 
130 146815804 2087325 6851950 314 1176 3342 6115393 14996256 34742626 
122 132362454 2470642 7360320 330 1566 3765.8 8294342 16562581 36134214 
68 134377042 2298992 7158463 326 1548 3646.6 7462830 15785432 35799844 
150 131565036 2289148 7414526 322 1536 3606 6944193 15910352 38261174 
70 122317970 2421561 7803155 321.82 1296 3276 7403101 16587857 39410953 
92 144712882 2554779 8277259 322 1336 3326 7895104 17716880 41341424 
70 145227816 2734101 8199906 322 1462 3625.8 9031466 18534742 41352046 
198 142945446 2887519 8096534 340 1698.3 4086 10019011 19020279 40080087 
70 145369452 2586540 8242167 330 1528 3742 8179812 18205086 42041127 
210 123922572 3098133 8827339 330 1685.1 4326 10775703 20713654 44012405 
76 140347934 3111826 9173933 336.7 1668 4126 10659457 21251774 46484240 
110 204497554 2843102 9422069 338 1721.8 4148 8564844 20100817 47359416 
76 208556284 3135015 9479927 332 1774 4416 10366096 21792439 47323956 
104 222036922 2833084 9481279 328 1822 4330 8101565 20148062 48743376 
142 204181260 3785441 10688657 364 2086 4864 13578927 25190025 52736365 
116 219913526 3448271 10814940 378 2021.5 4808 11272128 23809898 53753527 
86 241002936 3758830 11499510 340 1952 4798 12403695 25640299 57928164 
114 190821550 3194100 10643528 338 1934 4712 9398982 22646010 54347357 
90 195874152 3808311 11783271 338 1842 4553.4 12629681 26313470 59721879 
136 204718460 3489812 10717421 338 1884 4810 11531494 23932727 53813146 
94 191079046 4281083 12712262 340 1950 4822 14514484 28924926 63540811 
134 172062694 3666334 10543404 342 2012 5042 12823274 24270706 52647590 
98 309013654 4527227 13860386 381.84 1952 4792.6 14681571 31406345 70327831 
126 166372088 3398740 10715111 350 1690 4402 10986802 23224848 54214954 
102 204894370 4492514 13445720 406 2017.1 4998 15118645 30480503 67838825 
156 158506506 3266400 9944146 356 1990 4980 10850954 22369962 49157135 
104 184227214 3689112 10886447 426.38 1943.9 4866 12763897 25314181 53820053 
146 196573986 3412464 9631403 426 2298 5518.6 11967163 22415651 47594903 
108 198062184 4640904 12545684 342 2206 5604 16515650 29722434 61587878 
146 173535168 3561839 9832113 342 2240 5770 12636323 22962012 49664043 
62 180118300 4239689 11153656 340 2348 6134 14871343 26622099 54928812 
148 210951648 5312842 14898052 344 2310 5860 18821921 34948857 74100123 
64 218568612 4577760 12881295 324 2010 5450 15989614 29730309 63090332 
130 190718400 4966541 13067559 340 2262 5772 18058870 31265319 64031262 
66 206125218 4466846 11828240 336 2240 5730 16068898 28333494 57654733 
132 175710104 4674514 12243186 342 2392 6066 16662932 29452906 59536800 
68 229714596 4681489 12939884 338 2335.9 5962 16479273 30242632 63460777 
142 235969922 4844557 13373315 338 2236.3 5844 17166373 31348830 65777463 
68 208676900 4938325 13470168 324 1692 5138 17468203 31888649 66116641 
106 275017052 4905740 13266357 336 2138 5604.2 17233158 31086828 64626361 
68 233980360 4850175 13764989 330 1944 5290 16859203 31683401 67742760 
90 224162240 5190808 13572973 344 2262 6067.8 18465468 32584853 65717410 
74 258644890 5454889 14066433 334 2196 6048 19722948 34092478 67845266 
98 237277034 5187323 14930012 334 2072 5594 17711812 34088621 75328887 
140 249776328 6091365 15518374 340 2350 6378 21779816 37802592 75318951 
162 310912954 5640995 15071722 338 2293.5 6108 20084021 35852154 73583998 
74 223668470 5968548 15258018 362 2404 6221.8 21770264 37496861 74591689 
128 386451342 5813542 17075748 332 2154 5896 19764868 38266206 84187736 
76 255786842 5898504 16145339 340 2332 6146 21316754 39169281 78846802 
